Fecha,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,y
9/18/2024,-0.2,8788.6573,90.34397451,143.2937197,2.58111193,12.90039133,2565,236.3578745,4239.33,18178.74693,10.14265623,925.517661
9/19/2024,-0.2,8711.466,84.84413421,150.5628094,2.66753411,12.00174525,2595,237.9639099,4189.46,17194.22677,9.58203468,926.356178
9/20/2024,-0.2,8648.4899,86.88258639,142.6333784,2.6116183,9.89556554,2719,233.4334533,4175.1,16842.59127,6.29901098,933.299774
9/21/2024,-0.2,8632.9042,90.90660163,130.2075578,2.58737429,10.14335469,2764,225.1547114,4169.03,16124.71495,6.3585178,934.006946
9/22/2024,-0.2,8673.2953,89.08293711,110.7734142,2.76938278,6.99073499,2809,200.4364581,4162.96,14626.01948,6.88099994,933.251109
9/23/2024,-0.2,8710.6004,87.61947292,136.8976459,2.59293235,10.48359539,2854,227.7143222,4156.89,16039.61336,7.29434245,934.113428
9/24/2024,-0.2,8663.488,88.05330935,144.5348494,2.73360237,11.32485312,2791,236.6941731,4155.31,16709.42877,7.47259296,934.445377
9/25/2024,-0.2,8631.8026,90.18687235,144.252727,2.7542535,8.04143448,2817,234.1759345,4139.43,16637.63179,8.81557741,925.016308
9/26/2024,-0.2,8621.0954,92.94609111,134.3372406,2.56527133,9.29105149,2753,231.2237095,4192.74,16327.1452,5.80268743,922.335097
9/27/2024,-0.2,8592.4928,87.46336117,140.9781512,2.08834122,10.97402639,3304,233.6545454,4188.11,16759.86568,5.7213031,912.985721
9/28/2024,-0.2,8581.5865,82.23744544,138.3872884,2.41251071,7.95714685,3317.666667,219.0801161,4180.143333,15544.41754,9.89071009,913.772601
9/29/2024,-0.2,8665.8474,81.36293853,115.6164616,2.66749185,6.28897806,3331.333333,194.7414344,4172.176667,14100.57552,9.31553107,913.850929
